TimeGenerated,ActionType,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName
"Sep 1, 2026 1:40:42 PM",ConnectionAttempt,148.59.129.92,40277,,TcpV4,,
"Sep 1, 2026 1:40:50 PM",ConnectionAttempt,91.231.89.189,22744,,TcpV4,,
"Sep 1, 2026 1:40:52 PM",ConnectionAttempt,147.185.132.245,53135,,TcpV4,,
"Sep 1, 2026 1:40:58 PM",ConnectionAttempt,91.230.168.69,53421,,TcpV4,,
"Sep 1, 2026 1:41:08 PM",ConnectionAttempt,147.185.132.149,56578,,TcpV4,,
"Sep 1, 2026 1:41:16 PM",ConnectionAttempt,35.203.210.220,56272,,TcpV4,,
"Sep 1, 2026 1:41:22 PM",ConnectionAttempt,216.180.246.133,21665,,TcpV4,,
"Sep 1, 2026 1:41:32 PM",ConnectionAttempt,130.12.180.246,61603,,TcpV4,,
"Sep 1, 2026 1:41:38 PM",ConnectionAttempt,147.185.132.220,51488,,TcpV4,,
"Sep 1, 2026 1:41:55 PM",ConnectionAttempt,91.231.89.107,57883,,TcpV4,,
"Sep 1, 2026 1:41:59 PM",ConnectionAttempt,147.185.133.163,53329,,TcpV4,,
"Sep 1, 2026 1:41:59 PM",ConnectionAttempt,195.230.103.250,60592,,TcpV4,,
"Sep 1, 2026 1:41:59 PM",ConnectionAttempt,35.203.211.165,49467,,TcpV4,,
"Sep 1, 2026 1:42:09 PM",ConnectionAttempt,65.49.1.142,55415,,TcpV4,,
"Sep 1, 2026 1:42:13 PM",ConnectionAttempt,185.226.197.38,11791,,TcpV4,,
"Sep 1, 2026 1:42:21 PM",ConnectionAttempt,162.216.149.182,52694,,TcpV4,,
"Sep 1, 2026 1:42:23 PM",ConnectionAttempt,192.161.49.2,39499,,TcpV4,,
"Sep 1, 2026 1:42:23 PM",ConnectionAttempt,91.231.89.151,9981,,TcpV4,,
"Sep 1, 2026 1:42:25 PM",ConnectionAttempt,147.185.133.191,54479,,TcpV4,,
"Sep 1, 2026 1:42:27 PM",ConnectionAttempt,91.230.168.213,17312,,TcpV4,,
"Sep 1, 2026 1:42:29 PM",ConnectionAttempt,85.11.167.7,33283,,TcpV4,,
"Sep 1, 2026 1:42:33 PM",ConnectionAttempt,162.216.150.82,50789,,TcpV4,,
"Sep 1, 2026 1:42:37 PM",ConnectionAttempt,147.185.132.173,49840,,TcpV4,,
"Sep 1, 2026 1:42:37 PM",ConnectionAttempt,162.216.149.208,53095,,TcpV4,,
"Sep 1, 2026 1:42:37 PM",IcmpConnectionInspected,10.2.0.23,,,Icmp,,
"Sep 1, 2026 1:42:39 PM",ConnectionAttempt,162.216.149.156,54684,,TcpV4,,
