TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 2, 2026 12:06:12 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T04:06:12.630508Z   120 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 11:52:51 PM",datafiles-corp-s01,root,64.89.163.154,LogonSuccess,2026-09-02T03:52:51.207583Z   118 Connect root@64.89.163.154 on  using TCP/IP
"Sep 1, 2026 11:52:51 PM",datafiles-corp-s01,root,64.89.163.154,LogonSuccess,2026-09-02T03:52:50.842161Z   117 Connect root@64.89.163.154 on  using TCP/IP
"Sep 1, 2026 11:52:50 PM",datafiles-corp-s01,root,64.89.163.154,LogonSuccess,2026-09-02T03:52:50.020401Z   115 Connect root@64.89.163.154 on  using TCP/IP
"Sep 1, 2026 11:52:50 PM",datafiles-corp-s01,root,64.89.163.154,LogonSuccess,2026-09-02T03:52:50.386832Z   116 Connect root@64.89.163.154 on  using TCP/IP
"Sep 1, 2026 11:52:49 PM",datafiles-corp-s01,root,64.89.163.154,LogonSuccess,2026-09-02T03:52:49.531654Z   114 Connect root@64.89.163.154 on  using TCP/IP
"Sep 1, 2026 10:48:14 PM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T02:48:14.384654Z   113 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 1, 2026 10:48:13 PM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T02:48:13.174097Z   111 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 10:48:13 PM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T02:48:13.830889Z   112 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 10:48:12 PM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T02:48:12.627774Z   110 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 9:34:29 PM",datafiles-corp-s01,root,213.209.159.115,LogonSuccess,2026-09-02T01:34:29.780400Z   106 Connect root@213.209.159.115 on  using SSL/TLS
"Sep 1, 2026 9:34:29 PM",datafiles-corp-s01,sa,213.209.159.115,LogonFailure,2026-09-02T01:34:29.332701Z   105 Connect Access denied for user 'sa'@'213.209.159.115' (using password: NO)
"Sep 1, 2026 9:34:28 PM",datafiles-corp-s01,root,213.209.159.115,LogonFailure,2026-09-02T01:34:28.313914Z   103 Connect Access denied for user 'root'@'213.209.159.115' (using password: NO)
"Sep 1, 2026 9:34:28 PM",datafiles-corp-s01,admin,213.209.159.115,LogonFailure,2026-09-02T01:34:28.783345Z   104 Connect Access denied for user 'admin'@'213.209.159.115' (using password: NO)
"Sep 1, 2026 9:28:21 PM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T01:28:20.882515Z   101 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 1, 2026 9:28:20 PM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T01:28:20.322265Z   100 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 9:28:19 PM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T01:28:19.659533Z    99 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 9:28:19 PM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T01:28:19.110833Z    98 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 8:17:53 PM",datafiles-corp-s01,root,136.144.19.189,LogonSuccess,2026-09-02T00:17:53.871089Z    94 Connect root@136.144.19.189 on  using SSL/TLS
